from_stop_id,to_stop_id,transfer_type,min_transfer_time
"ch:1:sloid:3083::3","ch:1:sloid:3083::0","2","120"
"ch:1:sloid:3083::3","ch:1:sloid:3083::1","2","120"
"ch:1:sloid:3083::3","ch:1:sloid:3083::2","2","60"
"ch:1:sloid:3083::3","ch:1:sloid:3083::4","2","180"
"ch:1:sloid:3083::4","ch:1:sloid:3083::0","2","120"
"ch:1:sloid:3083::4","ch:1:sloid:3083::1","2","120"
"ch:1:sloid:3083::4","ch:1:sloid:3083::2","2","180"
"ch:1:sloid:3083::4","ch:1:sloid:3083::3","2","180"
"ch:1:sloid:3150::50","ch:1:sloid:3150::51","2","60"
"ch:1:sloid:3150::50","ch:1:sloid:3150::52","2","60"
"ch:1:sloid:3150::51","ch:1:sloid:3150::50","2","60"
"ch:1:sloid:3150::51","ch:1:sloid:3150::52","2","60"
"ch:1:sloid:3150::52","ch:1:sloid:3150::50","2","60"
"ch:1:sloid:3150::52","ch:1:sloid:3150::51","2","60"
"ch:1:sloid:3151::50","ch:1:sloid:3151::51","2","60"
"ch:1:sloid:3151::51","ch:1:sloid:3151::50","2","60"
"ch:1:sloid:3152::50","ch:1:sloid:3152::51","2","60"
"ch:1:sloid:3152::51","ch:1:sloid:3152::50","2","60"
"ch:1:sloid:3154::50","ch:1:sloid:3154::51","2","60"
"ch:1:sloid:3154::51","ch:1:sloid:3154::50","2","60"
"ch:1:sloid:3155::50","ch:1:sloid:3155::51","2","60"
"ch:1:sloid:3155::51","ch:1:sloid:3155::50","2","60"
"ch:1:sloid:3156::50","ch:1:sloid:3156::51","2","60"
"ch:1:sloid:3156::50","ch:1:sloid:89128::50","2","120"
"ch:1:sloid:3156::50","ch:1:sloid:89128::51","2","120"
"ch:1:sloid:3156::51","ch:1:sloid:3156::50","2","60"
"ch:1:sloid:3156::51","ch:1:sloid:89128::50","2","120"
"ch:1:sloid:3156::51","ch:1:sloid:89128::51","2","120"
"ch:1:sloid:3157::50","ch:1:sloid:3157::51","2","60"
"ch:1:sloid:3157::51","ch:1:sloid:3157::50","2","60"
"ch:1:sloid:3159::50","ch:1:sloid:3159::51","2","60"
"ch:1:sloid:3159::51","ch:1:sloid:3159::50","2","60"
"ch:1:sloid:3161::50","ch:1:sloid:3161::51","2","60"
"ch:1:sloid:3161::51","ch:1:sloid:3161::50","2","60"
"ch:1:sloid:3163::50","ch:1:sloid:3163::51","2","60"
"ch:1:sloid:3163::51","ch:1:sloid:3163::50","2","60"
"ch:1:sloid:3164::50","ch:1:sloid:3164::51","2","60"
"ch:1:sloid:3164::51","ch:1:sloid:3164::50","2","60"
"ch:1:sloid:3165::50","ch:1:sloid:3165::51","2","60"
